0,924558.6348175064,0.044004906,1.1066362850044473
3,3.935903555183888e7,0.061844355,1.1530399505531739
6,7.492628070168267e8,0.036238147,1.0870215325319765
9,1.133035754920752e9,0.147000409,1.4028150256726313
11,1.1450961539488463e9,0.064604238,1.1603906960637342
13,1.214111100942559e9,0.023742303,1.0561906121880524
15,6.733880296962677e8,0.041987172,1.1015067732367583
18,6.90784736689965e8,0.045732685,1.111047649685451
20,5.790522147026807e8,0.027622356,1.0656690577582717
22,4.4657039858781344e8,0.074786916,1.187919238931889
24,4.6668079604772073e8,0.02313712,1.0547198510186526
27,2.755402854596073e8,0.009701683,1.0225903333966324
30,2.3265081968699196e8,0.028186336,1.0670538472790563
36,2.712583789087925e8,0.028730194,1.0683909337772233
42,1.0573271179982671e8,0.138482549,1.3755695354623387
48,1.5181515418923226e8,0.050304251,1.1228047752350352
